"d_date","t_count"
"2014-08-26",1394
"2014-08-27",1200
"2014-08-28",1284
"2014-08-29",899
"2014-08-30",362
"2014-08-31",277
"2014-09-01",617
"2014-09-02",950
"2014-09-03",1230
"2014-09-04",1365
"2014-09-05",1040
"2014-09-06",548
"2014-09-07",356
"2014-09-08",1163
"2014-09-09",1877
"2014-09-10",2150
"2014-09-11",1695
"2014-09-12",1304
"2014-09-13",654
"2014-09-14",427
"2014-09-15",1325
"2014-09-16",1698
"2014-09-17",2830
"2014-09-18",2162
"2014-09-19",1443
"2014-09-20",704
"2014-09-21",482
"2014-09-22",1179
"2014-09-23",1518
"2014-09-24",1498
"2014-09-25",1358
"2014-09-26",1382
"2014-09-27",689
"2014-09-28",485
"2014-09-29",1330
"2014-09-30",1511
"2014-10-01",1571
"2014-10-02",1340
"2014-10-03",1446
"2014-10-04",549
"2014-10-05",447
"2014-10-06",1271
"2014-10-07",1596
"2014-10-08",1464
"2014-10-09",1386
"2014-10-10",1495
"2014-10-11",565
"2014-10-12",397
"2014-10-13",585
"2014-10-14",1157
"2014-10-15",1228
"2014-10-16",1440
"2014-10-17",1330
"2014-10-18",584
"2014-10-19",372
"2014-10-20",1061
"2014-10-21",1285
"2014-10-22",1328
"2014-10-23",1334
"2014-10-24",1296
"2014-10-25",739
"2014-10-26",560
"2014-10-27",1161
"2014-10-28",1431
"2014-10-29",1577
"2014-10-30",1608
"2014-10-31",1626
"2014-11-01",1190
"2014-11-02",965
"2014-11-03",1547
"2014-11-04",3190
"2014-11-05",1125
"2014-11-06",780
"2014-11-07",892
"2014-11-08",309
"2014-11-09",276
"2014-11-10",1127
"2014-11-11",1140
"2014-11-12",1013
"2014-11-13",1257
"2014-11-14",1106
"2014-11-15",435
"2014-11-16",253
"2014-11-17",1001
"2014-11-18",1602
"2014-11-19",1318
"2014-11-20",1946
"2014-11-21",1058
"2014-11-22",411
"2014-11-23",264
"2014-11-24",931
"2014-11-25",663
"2014-11-26",515
"2014-11-27",531
"2014-11-28",236
"2014-11-29",384
"2014-11-30",172
"2014-12-01",880
"2014-12-02",1247
"2014-12-03",1327
"2014-12-04",1317
"2014-12-05",1009
"2014-12-06",393
"2014-12-07",392
"2014-12-08",760
"2014-12-09",1245
"2014-12-10",1349
"2014-12-11",1290
"2014-12-12",949
"2014-12-13",391
"2014-12-14",358
"2014-12-15",593
"2014-12-16",798
"2014-12-17",773
"2014-12-18",645
"2014-12-19",700
"2014-12-20",276
"2014-12-21",226
"2014-12-22",490
"2014-12-23",539
"2014-12-24",350
"2014-12-25",366
"2014-12-26",195
"2014-12-27",161
"2014-12-28",197
"2014-12-29",286
"2014-12-30",320
"2014-12-31",321
"2015-01-01",381
"2015-01-02",301
"2015-01-03",184
"2015-01-04",221
"2015-01-05",581
"2015-01-06",1437
"2015-01-07",1270
"2015-01-08",1352
"2015-01-09",1279
"2015-01-10",325
"2015-01-11",306
"2015-01-12",1103
"2015-01-13",1358
"2015-01-14",1278
"2015-01-15",1067
"2015-01-16",1022
"2015-01-17",311
"2015-01-18",435
"2015-01-19",796
"2015-01-20",3209
"2015-01-21",1777
"2015-01-22",1402
"2015-01-23",977
"2015-01-24",330
"2015-01-25",297
"2015-01-26",1103
"2015-01-27",1530
"2015-01-28",1467
"2015-01-29",1418
"2015-01-30",965
"2015-01-31",408
"2015-02-01",492
"2015-02-02",1129
"2015-02-03",1761
"2015-02-04",1812
"2015-02-05",1433
"2015-02-06",1363
"2015-02-07",349
"2015-02-08",277
"2015-02-09",1008
"2015-02-10",1380
"2015-02-11",1852
"2015-02-12",1720
"2015-02-13",1131
"2015-02-14",397
"2015-02-15",261
"2015-02-16",483
"2015-02-17",878
"2015-02-18",1057
"2015-02-19",1020
"2015-02-20",995
"2015-02-21",326
"2015-02-22",288
"2015-02-23",1004
"2015-02-24",1717
"2015-02-25",1780
"2015-02-26",1980
"2015-02-27",1305
"2015-02-28",427
"2015-03-01",323
